exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
5.210802726945911,5.210802726945911,5.210802726945911,5.210802726945911,5.210802726945911,5.210802726945911,5.210802726945911,5.210802726945911,5.210802726945911,5.210802726945911
5.211029499186085,5.211029499186085,5.211029499186086,5.211029499186086,5.211029499186086,5.211029499186086,5.211029499186085,5.211029499186085,5.211029499186085,5.211029499186085
5.200844120552552,5.200844120552552,5.200844120552552,5.200844120552552,5.200844120552552,5.200844120552552,5.200844120552552,5.200844120552552,5.200844120552552,5.200844120552552
5.205204265653151,5.205204265653151,5.20520426565315,5.20520426565315,5.20520426565315,5.20520426565315,5.205204265653151,5.205204265653151,5.205204265653151,5.205204265653151
5.204954904968248,5.204954904968248,5.204954904968248,5.204954904968248,5.204954904968248,5.204954904968248,5.204954904968248,5.204954904968248,5.204954904968248,5.204954904968248
5.224070541809058,5.219603644031548,5.217679659991685,5.222907983293954,5.222459664252159,5.224498804210586,5.2343145661178045,5.219606452929016,5.2181685587956625,5.229022128508723
5.2296701693384575,5.236111724326104,5.2215924778498986,5.23017330316521,5.214805742806677,5.209695922576707,5.21763576177853,5.224932063735951,5.21931905873125,5.221286569681096
5.2048754888702655,5.2048754888702655,5.2048754888702655,5.2048754888702655,5.2048754888702655,5.2048754888702655,5.2048754888702655,5.2048754888702655,5.2048754888702655,5.2048754888702655
5.202171011638947,5.202031400678229,5.201767770537596,5.2017374201610185,5.202306110340255,5.201833870914458,5.2020492748517935,5.201808062295415,5.2015833871463935,5.202071405161971
5.202391028848132,5.201502603613067,5.201735019158915,5.202186434252148,5.2023612570279125,5.201717540112887,5.201570337937269,5.202436036103831,5.201706527664052,5.201854508682645
5.201653500932397,5.201782309137379,5.2021636037725,5.201916075105692,5.201862576963247,5.201998044293635,5.201880083648928,5.201954554661752,5.201834832378447,5.202173267874983
5.190423575259981,5.184461994315746,5.1948965701291145,5.201796929202365,5.178134433940415,5.201998044293635,5.2048754888702655,5.1971092140926585,5.200844120552552,5.188276105511737
