exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
5.282368383881633,5.282368383881633,5.282368383881633,5.282368383881633,5.282368383881633,5.282368383881633,5.282368383881633,5.282368383881633,5.282368383881633,5.282368383881633
5.28697530068572,5.28697530068572,5.28697530068572,5.28697530068572,5.28697530068572,5.28697530068572,5.286975300685718,5.28697530068572,5.28697530068572,5.286975300685718
5.223393176481021,5.223393176481021,5.223393176481021,5.223393176481021,5.223393176481021,5.223393176481021,5.223393176481021,5.223393176481021,5.223393176481021,5.223393176481021
5.234719960800752,5.234719960800752,5.234719960800752,5.234719960800752,5.234719960800752,5.234719960800752,5.234719960800753,5.234719960800752,5.234719960800752,5.234719960800753
5.242859955562752,5.242859955562752,5.242859955562752,5.242859955562752,5.242859955562752,5.242859955562752,5.242859955562751,5.242859955562752,5.242859955562752,5.242859955562751
5.34547500118981,5.349042927434402,5.359755190312861,5.3664798920445556,5.349519194003567,5.360365500445094,5.345705401674161,5.353318783704244,5.371770132660484,5.359021543020837
5.376327164209306,5.344722678873018,5.378380756362421,5.3191322956158515,5.362745471728703,5.347428114299236,5.311972849084506,5.370770225908185,5.373105198468419,5.361461029334536
5.213337585701939,5.213337585701939,5.213337585701939,5.213337585701939,5.213337585701939,5.213337585701939,5.213337585701939,5.213337585701939,5.213337585701939,5.213337585701939
5.19512374771175,5.1984960617460585,5.198605803978177,5.196317301411163,5.198181162332813,5.19693981785873,5.197622594064431,5.1968042212204715,5.198709002135104,5.1985930575232295
5.195151944218369,5.1974240351024745,5.198237870148557,5.197806907298795,5.197772054742752,5.198114957866861,5.196104801831365,5.197160162493222,5.19759302127632,5.198654494036601
5.197900317012032,5.19550008109011,5.198836382646211,5.199109862835378,5.197887647830192,5.196722694949222,5.198237430930081,5.196035893140047,5.196528108805486,5.199631916584994
5.180301956608023,5.194749631542177,5.177039528346896,5.19649525664765,5.188076696586628,5.176170165756444,5.186034293538125,5.1659692154659025,5.194951258996431,5.193657815518121
