exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
5.230294694872892,5.230294694872892,5.230294694872892,5.230294694872892,5.230294694872892,5.230294694872892,5.230294694872892,5.230294694872892,5.230294694872892,5.230294694872892
5.231023417708089,5.231023417708089,5.231023417708089,5.231023417708089,5.231023417708089,5.231023417708089,5.231023417708089,5.231023417708089,5.231023417708088,5.231023417708088
5.202422474918133,5.202422474918133,5.202422474918133,5.202422474918133,5.202422474918133,5.202422474918133,5.202422474918133,5.202422474918133,5.202422474918134,5.202422474918134
5.20956684865925,5.20956684865925,5.20956684865925,5.20956684865925,5.20956684865925,5.20956684865925,5.20956684865925,5.20956684865925,5.209566848659249,5.209566848659249
5.2149341072354884,5.2149341072354884,5.2149341072354884,5.2149341072354884,5.2149341072354884,5.2149341072354884,5.2149341072354884,5.2149341072354884,5.2149341072354884,5.2149341072354884
5.277025492220728,5.287923683876865,5.270732177220213,5.2910331470161,5.26940821875258,5.301867874258545,5.271410608450107,5.2730215234502955,5.311843664019576,5.262478190146245
5.281277019350963,5.275706181623288,5.281327987205653,5.273828077912516,5.261190328157123,5.285798218652124,5.2456638024361935,5.249010153796985,5.254998520402918,5.2695318098431345
5.206511665204388,5.206511665204388,5.206511665204388,5.206511665204388,5.206511665204388,5.206511665204388,5.206511665204388,5.206511665204388,5.206511665204388,5.206511665204388
5.199297851866256,5.201745240435104,5.199690926583751,5.200587344944206,5.2006486130724525,5.197930962677292,5.200820221359291,5.197241513493971,5.200413783184076,5.200669023978912
5.199670324663355,5.2000832015977965,5.200095241659195,5.2006430490201065,5.200742025510519,5.199989333381952,5.200337438293337,5.19813871642198,5.200996401654661,5.200566540644804
5.200780758583769,5.19689684193386,5.200501221615586,5.200566046582406,5.2011343193631605,5.200769751295694,5.200342141653869,5.200206702956183,5.200672847668403,5.2011880117061216
5.179038998189456,5.188071451435119,5.180881788882695,5.200631054463818,5.198013049326609,5.176220299795208,5.163988926233057,5.190043695228425,5.19304090165136,5.185652751823914
