exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
5.222672280934781,5.222672280934782,5.222672280934782,5.222672280934782,5.222672280934782,5.222672280934781,5.222672280934781,5.222672280934781,5.222672280934781,5.222672280934781
5.2284107249635605,5.2284107249635605,5.2284107249635605,5.2284107249635605,5.2284107249635605,5.2284107249635605,5.2284107249635605,5.2284107249635605,5.2284107249635605,5.2284107249635605
5.211990947310667,5.211990947310667,5.211990947310667,5.211990947310667,5.211990947310667,5.211990947310667,5.211990947310667,5.211990947310667,5.211990947310667,5.211990947310667
5.21286879053657,5.21286879053657,5.21286879053657,5.21286879053657,5.21286879053657,5.21286879053657,5.21286879053657,5.21286879053657,5.21286879053657,5.212868790536569
5.214022782311096,5.214022782311096,5.214022782311096,5.214022782311096,5.214022782311096,5.214022782311096,5.214022782311096,5.214022782311096,5.214022782311096,5.214022782311097
5.2521873755461455,5.237672990232862,5.251292704480751,5.256843657523433,5.23723507474186,5.244859358590564,5.253389557639804,5.258086087475076,5.25696104423799,5.249836427829832
5.253328273985337,5.249616201834279,5.240003096889811,5.242881277903965,5.26436917871335,5.255463687981923,5.274793408543276,5.250230775379999,5.238147619403283,5.252092613403914
5.208271725878777,5.208271725878778,5.208271725878778,5.208271725878778,5.208271725878778,5.208271725878777,5.208271725878777,5.208271725878777,5.208271725878777,5.208271725878777
5.208719023962914,5.207151461363071,5.208575797424179,5.2087300736721724,5.209795067824938,5.208559746447324,5.208099572997212,5.207615747701929,5.209201398736598,5.208494210014482
5.207871503094569,5.2084341665090985,5.208199715532196,5.208038707298218,5.2083076644519055,5.208192219763549,5.208686314077647,5.207882916460677,5.208223715087135,5.208204102474999
5.208637665573285,5.208990381690229,5.208888257702966,5.20804624632773,5.207636108108162,5.207923109621217,5.208304083092843,5.20816651887094,5.2081257879898155,5.208302017664131
5.198522731834331,5.19819300360814,5.181781364601387,5.1992348502381445,5.194078047208261,5.197950922812602,5.208125576414628,5.19141882742511,5.190623175084148,5.195547611025194
