exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
4.562848220696887,4.5628482206968854,4.562848220696887,4.562848220696887,4.562848220696887,4.562848220696887,4.562848220696887,4.5628482206968854,4.562848220696887,4.5628482206968854
4.562526007987443,4.562526007987443,4.562526007987443,4.562526007987443,4.562526007987443,4.562526007987443,4.562526007987443,4.562526007987443,4.562526007987443,4.562526007987443
4.532087993721416,4.532087993721414,4.532087993721416,4.532087993721416,4.532087993721416,4.532087993721416,4.532087993721416,4.532087993721414,4.532087993721416,4.532087993721414
4.5319254835205545,4.531925483520555,4.5319254835205545,4.5319254835205545,4.5319254835205545,4.5319254835205545,4.5319254835205545,4.531925483520555,4.5319254835205545,4.531925483520555
4.53086088796863,4.530860887968629,4.53086088796863,4.53086088796863,4.53086088796863,4.53086088796863,4.53086088796863,4.530860887968629,4.53086088796863,4.530860887968629
4.586085258153625,4.596342386908055,4.615709036808602,4.618915589830418,4.608130338648357,4.6426079092486265,4.6212816585318075,4.619947831281222,4.624796092603258,4.567148289241164
4.594744081715769,4.649137403951435,4.618667678265889,4.668537702184259,4.576075580140857,4.604355716732038,4.620455893110849,4.563999349612457,4.604151413508292,4.563511627965242
4.5273971137164315,4.5273971137164315,4.5273971137164315,4.5273971137164315,4.5273971137164315,4.5273971137164315,4.5273971137164315,4.5273971137164315,4.5273971137164315,4.5273971137164315
4.540637176584141,4.540419360465952,4.540260080668954,4.539938975182235,4.541190130739758,4.540870342810515,4.54093727531952,4.540201696241719,4.540146969388462,4.540118889027984
4.540114895242859,4.540217090688631,4.540235248437345,4.540195052296662,4.540582986882271,4.540722517866385,4.54057037058643,4.540247323820426,4.539980141038925,4.540992057507064
4.540164640814884,4.540154514206099,4.540331978495813,4.540439448374808,4.5407226713913476,4.5404975602556865,4.540266601085383,4.540004679847656,4.54028693799281,4.54049428993737
4.524610528726672,4.507158639693735,4.526303701371643,4.526025349241368,4.5109410311308995,4.5236368975277355,4.522357652622397,4.5187270091148415,4.525335451533929,4.499940656159153
