exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
4.9419468482296915,4.9419468482296915,4.9419468482296915,4.941946848229691,4.9419468482296915,4.941946848229691,4.941946848229691,4.941946848229691,4.9419468482296915,4.941946848229691
4.931259926107284,4.931259926107284,4.931259926107284,4.931259926107287,4.931259926107284,4.931259926107287,4.931259926107287,4.931259926107287,4.931259926107284,4.931259926107287
4.6719517774224135,4.6719517774224135,4.6719517774224135,4.6719517774224135,4.6719517774224135,4.6719517774224135,4.6719517774224135,4.6719517774224135,4.6719517774224135,4.6719517774224135
4.60898170346073,4.60898170346073,4.60898170346073,4.60898170346073,4.60898170346073,4.60898170346073,4.60898170346073,4.60898170346073,4.60898170346073,4.60898170346073
4.597877425176667,4.597877425176667,4.597877425176667,4.597877425176666,4.597877425176667,4.597877425176666,4.597877425176666,4.597877425176666,4.597877425176667,4.597877425176666
5.04386624741641,5.240801611293021,5.169527066318318,5.056196456424233,5.376836384725835,5.171998902868698,5.183458889452346,5.189609524998702,5.115004639739846,5.207464198420094
5.18587100836916,4.996702220604469,5.184592060046064,5.289067034742308,5.101396399438759,5.044518016552223,5.173558806593718,4.957679608682707,5.096453850415417,5.1122379235994675
4.556548376710332,4.556548376710332,4.556548376710332,4.556548376710332,4.556548376710332,4.556548376710332,4.556548376710332,4.556548376710332,4.556548376710332,4.556548376710332
4.5810087513220425,4.5783640126315595,4.578495601554905,4.580059585042292,4.582274985425705,4.579969954666458,4.578725461677779,4.580670372198813,4.578146164691111,4.580778382277252
4.580458262497963,4.579476311548962,4.579353883125294,4.580039926181168,4.579456526785803,4.580171303987008,4.580035331673128,4.5809207361833595,4.579386305083882,4.579228160764842
4.580147126142571,4.579862677939855,4.579382341570433,4.5788686010956585,4.58014787711661,4.57980139475806,4.5810219504431124,4.58004658645319,4.578085626964388,4.578836490715448
4.526404326482958,4.556548376710332,4.49745424528597,4.521323201200893,4.507790075460334,4.535272329436823,4.511158737138743,4.580716030020412,4.57282374670558,4.577473618483338
