exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
4.682525936804848,4.682525936804848,4.682525936804848,4.682525936804848,4.682525936804848,4.682525936804848,4.682525936804848,4.682525936804848,4.682525936804848,4.682525936804848
4.686518241591865,4.686518241591864,4.686518241591865,4.686518241591865,4.686518241591865,4.686518241591865,4.686518241591865,4.686518241591865,4.686518241591865,4.686518241591865
4.523537284875236,4.523537284875236,4.523537284875236,4.523537284875236,4.523537284875236,4.523537284875236,4.523537284875236,4.523537284875236,4.523537284875236,4.523537284875236
4.523030433044709,4.52303043304471,4.523030433044709,4.523030433044709,4.523030433044709,4.523030433044709,4.523030433044709,4.523030433044709,4.523030433044709,4.523030433044709
4.523491271260803,4.523491271260803,4.523491271260803,4.523491271260803,4.523491271260803,4.523491271260803,4.523491271260803,4.523491271260803,4.523491271260803,4.523491271260803
4.756346457871184,4.827149551050681,4.816925526494809,4.823239242952489,4.736438849885588,4.904241317629676,4.768651451313106,4.768746898777691,4.758015358362639,4.814698994882134
4.835605995624274,4.755545458757398,4.785917712138188,4.961259983353289,4.804062648227206,4.739822098876972,4.743126298989571,4.830105043754187,4.788163078740533,4.694361015937522
4.521841124512908,4.5218411245129095,4.521841124512908,4.521841124512908,4.521841124512908,4.521841124512908,4.521841124512908,4.521841124512908,4.521841124512908,4.521841124512908
4.533080902805619,4.532751199340842,4.533273299787418,4.532407594200325,4.533961063809081,4.533803559353092,4.533942533762516,4.532794353327837,4.5332398217280465,4.533588454236382
4.533133184815584,4.533004302892553,4.5331989766717395,4.533937452764679,4.5329708527264625,4.533520866108696,4.533267056560076,4.533627884384197,4.533552569421807,4.533112031633295
4.533146871530071,4.533347825082086,4.532693410812985,4.533422811484363,4.533334846743684,4.532582783178789,4.533820682557419,4.5331980420560924,4.533534636368922,4.532666550889637
4.517344157157803,4.493425092734375,4.523537284875236,4.5005507945281655,4.523192209201765,4.515493998556251,4.533532079043506,4.533070474198925,4.50779980764895,4.522924372555266
