exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0.6817,0.6817,0.6817,0.6817,0.6817,0.6817,0.6817,0.6817,0.6817,0.6817
0.6827,0.6827,0.6827,0.6827,0.6827,0.6827,0.6827,0.6827,0.6827,0.6827
0.69025,0.69025,0.69025,0.69025,0.69025,0.69025,0.69025,0.69025,0.69025,0.69025
0.688275,0.688275,0.688275,0.688275,0.688275,0.688275,0.688275,0.688275,0.688275,0.688275
0.688575,0.688575,0.688575,0.688575,0.688575,0.688575,0.688575,0.688575,0.688575,0.688575
0.681225,0.682325,0.68795,0.6855,0.681425,0.69095,0.683,0.68725,0.6837,0.68855
0.690175,0.6834,0.6844,0.6827,0.6911,0.6864,0.6889,0.685275,0.68625,0.682575
0.688475,0.688475,0.688475,0.688475,0.688475,0.688475,0.688475,0.688475,0.688475,0.688475
0.690475,0.690175,0.690475,0.68915,0.689925,0.690525,0.690325,0.6903,0.690575,0.690625
0.690025,0.69015,0.690075,0.690425,0.69045,0.6898,0.690025,0.690475,0.6906,0.6898
0.69055,0.690325,0.6902,0.690375,0.690525,0.6905,0.690475,0.6906,0.6904,0.690375
0.697525,0.696925,0.697,0.695675,0.691725,0.698975,0.695925,0.69705,0.69735,0.6967
