exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0.693825,0.693825,0.693825,0.693825,0.693825,0.693825,0.693825,0.693825,0.693825,0.693825
0.6917,0.6917,0.6917,0.6917,0.6917,0.6917,0.6917,0.6917,0.6917,0.6917
0.688225,0.688225,0.688225,0.688225,0.688225,0.688225,0.688225,0.688225,0.688225,0.688225
0.688825,0.688825,0.688825,0.688825,0.688825,0.688825,0.688825,0.688825,0.688825,0.688825
0.68835,0.68835,0.68835,0.68835,0.68835,0.68835,0.68835,0.68835,0.68835,0.68835
0.691775,0.693575,0.69035,0.6905999999999999,0.692475,0.69265,0.693725,0.6860999999999999,0.692625,0.6928
0.6905000000000001,0.690025,0.6900000000000001,0.69285,0.692625,0.692725,0.6893999999999999,0.6938500000000001,0.6887,0.6930000000000001
0.6878500000000001,0.6878500000000001,0.6878500000000001,0.6878500000000001,0.6878500000000001,0.6878500000000001,0.6878500000000001,0.6878500000000001,0.6878500000000001,0.6878500000000001
0.6886500000000001,0.6883999999999999,0.6886,0.688475,0.6883499999999999,0.68825,0.6882999999999999,0.6886500000000001,0.6885749999999999,0.6881999999999999
0.688425,0.688325,0.6882499999999999,0.6884750000000001,0.6883000000000001,0.688325,0.68835,0.68855,0.6882999999999999,0.689025
0.6882499999999999,0.6882999999999999,0.688325,0.68855,0.688175,0.68835,0.68835,0.688375,0.68845,0.6882249999999999
0.6966,0.6956,0.6981499999999999,0.6975750000000001,0.695525,0.6978,0.6977000000000001,0.693925,0.695425,0.6966749999999999
