exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0.691675,0.691675,0.691675,0.691675,0.691675,0.691675,0.691675,0.691675,0.691675,0.691675
0.6905249999999999,0.6905249999999999,0.6905249999999999,0.6905249999999999,0.6905249999999999,0.6905249999999999,0.6905249999999999,0.6905249999999999,0.6905249999999999,0.6905249999999999
0.6923,0.6923,0.6923,0.6923,0.6923,0.6923,0.6923,0.6923,0.6923,0.6923
0.6894500000000001,0.6894500000000001,0.6894500000000001,0.6894500000000001,0.6894500000000001,0.6894500000000001,0.6894500000000001,0.6894500000000001,0.6894500000000001,0.6894500000000001
0.6922,0.6922,0.6922,0.6922,0.6922,0.6922,0.6922,0.6922,0.6922,0.6922
0.6917250000000001,0.689625,0.692425,0.6868749999999999,0.68865,0.6890000000000001,0.6846249999999999,0.692425,0.69,0.6944250000000001
0.689125,0.6917000000000001,0.691675,0.6938500000000001,0.693575,0.6879749999999999,0.686725,0.691675,0.691175,0.6909
0.6888249999999999,0.6888249999999999,0.6888249999999999,0.6888249999999999,0.6888249999999999,0.6888249999999999,0.6888249999999999,0.6888249999999999,0.6888249999999999,0.6888249999999999
0.689675,0.6897749999999999,0.688125,0.6895,0.6886249999999999,0.6894,0.689625,0.688125,0.688625,0.6895249999999999
0.6896,0.689425,0.689425,0.689375,0.6898,0.6897,0.6892500000000001,0.689425,0.689375,0.689425
0.6885249999999998,0.6885249999999999,0.689325,0.689675,0.688075,0.689225,0.6884999999999999,0.689325,0.6888,0.689225
0.6992250000000001,0.6924000000000001,0.69205,0.6964250000000001,0.6971499999999999,0.69655,0.699075,0.69205,0.688625,0.6944750000000001
