exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
0.6299434362982358,0.6299434362982358,0.6299434362982358,0.6299434362982359,0.6299434362982358,0.6299434362982358,0.6299434362982358,0.6299434362982358,0.6299434362982358,0.6299434362982358
0.6298204424597212,0.6298204424597212,0.6298204424597212,0.6298204424597212,0.6298204424597212,0.6298204424597212,0.6298204424597212,0.6298204424597212,0.6298204424597212,0.6298204424597212
0.6034042786709661,0.6034042786709661,0.6034042786709661,0.6034042786709662,0.6034042786709661,0.6034042786709661,0.6034042786709661,0.6034042786709661,0.6034042786709661,0.6034042786709661
0.6026110407564628,0.6026110407564628,0.6026110407564628,0.6026110407564629,0.6026110407564628,0.6026110407564628,0.6026110407564628,0.6026110407564628,0.6026110407564628,0.6026110407564628
0.6032752112111036,0.6032752112111036,0.6032752112111036,0.6032752112111036,0.6032752112111036,0.6032752112111036,0.6032752112111036,0.6032752112111036,0.6032752112111036,0.6032752112111036
0.6583187720214436,0.6635590975581338,0.657694171500492,0.660111395857405,0.6528226984377523,0.6489132373994615,0.6656346958444993,0.6777429753407669,0.6572371026610974,0.660226016291228
0.665754205764122,0.6586426510348468,0.6557047119823795,0.6596707650292111,0.6586114403025312,0.6582993400729356,0.6507128745458872,0.6651938147588029,0.6624957137317309,0.6594539463580497
0.5925842880402267,0.5925842880402267,0.5925842880402267,0.5925842880402267,0.5925842880402267,0.5925842880402267,0.5925842880402267,0.5925842880402267,0.5925842880402267,0.5925842880402267
0.5903541046744125,0.5907732998451961,0.5904376428609497,0.5905295252051598,0.5905606682142006,0.5904524845961064,0.5905949413444019,0.5906567680512345,0.5906415577980704,0.5905556658433035
0.5905536650302138,0.590414233012178,0.5905558163876677,0.5905523360731594,0.5904508657903038,0.5905847663996496,0.5905744416179458,0.5905662452178783,0.5903305828806638,0.5905092169344066
0.5906662674379719,0.5904831433069319,0.5904645487352604,0.5905961464911557,0.5904234183124558,0.590565507893837,0.5905012701901168,0.5905926424192842,0.5904635839626469,0.5905285031944066
0.5903541046744125,0.5927668756997696,0.5904667159071626,0.5905295252051598,0.5904322947717598,0.5904524845961064,0.5905012701901168,0.59006002258797,0.59036002258797,0.5906581462467142
