exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
883.2134898126018,883.2134898126018,883.2134898126018,883.2134898126018,883.2134898126018,883.2134898126018,883.2134898126018,883.2134898126018,883.2134898126018,883.2134898126018
883.7397577209405,883.7397577209405,883.7397577209405,883.7397577209405,883.7397577209405,883.7397577209405,883.7397577209405,883.7397577209405,883.7397577209405,883.7397577209405
880.7637166355767,880.7637166355767,880.7637166355767,880.7637166355767,880.7637166355767,880.7637166355767,880.7637166355767,880.7637166355767,880.7637166355767,880.7637166355767
880.2558487453973,880.2558487453973,880.2558487453973,880.2558487453973,880.2558487453973,880.2558487453973,880.2558487453973,880.2558487453973,880.2558487453973,880.2558487453973
881.3773157690474,881.3773157690474,881.3773157690474,881.3773157690474,881.3773157690474,881.3773157690474,881.3773157690474,881.3773157690474,881.3773157690474,881.3773157690474
937.1022195297335,952.4749097689406,890.2425140208214,930.1596965367838,905.0416428526883,923.0667426518845,872.8300335988405,852.1002442594985,967.631801772673,976.7556308918365
970.9962873095345,894.6688245919541,909.3739254669246,872.7612742682334,900.5332785084973,955.9820280967693,922.5089540995219,1055.0348792332268,984.5631199458228,887.1785305964945
865.911686301274,865.911686301274,865.911686301274,865.911686301274,865.911686301274,865.911686301274,865.911686301274,865.911686301274,865.911686301274,865.911686301274
878.5890973308384,878.4571901787207,878.8657685868976,878.4603557143812,878.3813444444903,879.0664794912626,877.7485120677293,878.179780108507,878.6310158639471,878.374025413904
878.9873820944591,878.5900561912366,878.5800997143614,877.8559661603263,878.614987058978,878.6589828207192,878.4634197547188,878.8490519649595,878.4820539091984,878.6420175191322
878.6085206921722,878.7168588330522,878.1892310004015,878.5497412346547,878.3953826746134,878.4783330676512,878.5497174507732,878.2225686573244,878.3203037350294,878.5148068090786
806.1995997123523,806.5495866706129,804.1230600287629,806.921697354626,805.0371567319115,812.5589011969265,815.6869663963004,809.0993626132762,808.1858489332417,806.0999621022426
