exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
947.4178755704029,947.4178755704029,947.4362497396856,947.4362497396856,947.4178755704029,947.4178755704029,947.4362497396856,947.4362497396856,947.4362497396856,947.4362497396856
955.7401921910811,955.7401921910811,955.6857629371696,955.6857629371696,955.7401921910811,955.7401921910811,955.6857629371696,955.6857629371696,955.6857629371696,955.6857629371696
882.518420536446,882.518420536446,882.4748945555335,882.4748945555335,882.518420536446,882.518420536446,882.4748945555335,882.4748945555335,882.4748945555335,882.4748945555335
924.9181012234975,924.9181012234975,924.7666802609186,924.7666802609186,924.9181012234975,924.9181012234975,924.7666802609186,924.7666802609186,924.7666802609186,924.7666802609186
925.0346347441011,925.0346347441011,924.9277705155143,924.9277705155143,925.0346347441011,925.0346347441011,924.9277705155143,924.9277705155143,924.9277705155143,924.9277705155143
1388.3289503612855,1266.8107742797051,1245.3446468029642,1529.0913836003392,1421.7036138736455,1432.9052340566484,1234.1526515309197,1267.2136407412918,1290.0651489753532,1355.0243531541416
1232.1290048189142,1348.6584684243976,1399.1079574789073,1376.052186307191,1290.1367139570095,1404.0416025484728,1179.4277327758577,1287.0105893739958,1268.7955245983492,1341.9184384159867
615.0512109725688,615.0512109725688,615.0292954329899,615.0292954329899,615.0512109725688,615.0512109725688,615.0292954329899,615.0292954329899,615.0292954329899,615.0292954329899
699.9356854104758,694.0753392751133,682.7076136391039,704.5937423514348,701.368499829719,707.7805940290967,701.0545389060683,691.2779777490384,698.7505131023519,680.620496136283
668.0918699440228,703.9828082775377,669.8773562681456,669.5767509410703,702.1592421130707,654.7229472870843,679.0359131303734,698.8589530662107,700.128197433013,639.3189773820264
662.7258066748329,709.077998513319,708.3415938096534,711.107946630327,680.5502335962193,705.6475425858297,663.5953933239742,704.6747280276198,710.6369515025236,668.7120358127256
668.1390729541824,660.7658202162768,545.8715300515314,666.3007435391319,530.9922533539528,656.3229965264768,628.4482752628095,694.2477653696841,699.9753036792084,533.653235079485
