exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
1016.2051104257633,1016.2051104257633,1016.2051104257639,1016.2051104257633,1016.2051104257633,1016.2051104257639,1016.2051104257639,1016.2051104257639,1016.2051104257633,1016.2051104257633
1017.1553045867486,1017.1553045867486,1017.1553045867512,1017.1553045867486,1017.1553045867486,1017.1553045867512,1017.1553045867512,1017.1553045867512,1017.1553045867486,1017.1553045867486
1020.3362816118581,1020.3362816118581,1020.3425710471093,1020.3362816118581,1020.3362816118581,1020.3425710471093,1020.3425710471093,1020.3425710471093,1020.3362816118581,1020.3362816118581
1024.9758223493084,1024.9758223493084,1024.9090177068829,1024.9758223493084,1024.9758223493084,1024.9090177068829,1024.9090177068829,1024.9090177068829,1024.9758223493084,1024.9758223493084
1025.6654577008107,1025.6654577008107,1025.7131708141833,1025.6654577008107,1025.6654577008107,1025.7131708141833,1025.7131708141833,1025.7131708141833,1025.6654577008107,1025.6654577008107
1033.6007407787984,949.7935415152183,1075.8164173626988,1115.0464693319154,1236.8985231216088,934.4869140970892,973.4947284817417,1139.0028074140716,1039.4159411652004,1158.8998244084962
1050.3820422745252,1091.5126677917797,1027.4457344785903,929.8671351183345,1027.7172782731675,1060.9872943323376,1059.5363474659623,1131.63588242181,1059.8062442403755,1195.9973589181177
1033.9515916503142,1033.9515916503142,1033.9515916503165,1033.9515916503142,1033.9515916503142,1033.9515916503165,1033.9515916503165,1033.9515916503165,1033.9515916503142,1033.9515916503142
1024.0432621558737,1021.29408896316,1022.2058250294307,1023.3722027856447,1021.8150041914089,1021.1849040989695,1021.1498556458762,1024.6082112166089,1021.8312890824441,1022.4045871328348
1022.9598926057712,1023.0408375924097,1021.6342689041331,1021.8886171387478,1021.8816277621698,1021.5731045420372,1021.3035124967238,1021.4981394971151,1022.2662335328125,1021.9029476556464
1023.0712992522062,1022.0910959571789,1022.1294134100322,1022.0329892660368,1023.0828910562985,1022.5483615895635,1021.7388813712594,1021.6533478728827,1021.8269591646782,1023.1397113928496
849.5443555917387,818.8848825959799,909.6239350276549,854.2610901426629,871.192187080305,888.7096674494427,839.4022049418801,918.551209573104,883.2149234063271,900.2680972778318
