exp_1,exp_2,exp_3,exp_4,exp_5,exp_6,exp_7,exp_8,exp_9,exp_10
1004.1148494673307,1004.1148494673307,1004.1148494673307,1004.1148494673307,1004.1148494673307,1004.1148494673307,1004.1148494673307,1004.1148494673307,1004.1148494673307,1004.1148494673307
1002.2620988747404,1002.2620988747404,1002.2620988747404,1002.2620988747404,1002.2620988747404,1002.2620988747404,1002.2620988747404,1002.2620988747404,1002.2620988747404,1002.2620988747404
1024.4580193842987,1024.4580193842987,1024.4580193842987,1024.4580193842987,1024.4580193842987,1024.4580193842987,1024.4580193842987,1024.4580193842987,1024.4580193842987,1024.4580193842987
1019.9692190849684,1019.9692190849684,1019.9692190849684,1019.9692190849684,1019.9692190849684,1019.9692190849684,1019.9692190849684,1019.9692190849684,1019.9692190849684,1019.9692190849684
1015.8116544127657,1015.8116544127657,1015.8116544127657,1015.8116544127657,1015.8116544127657,1015.8116544127657,1015.8116544127657,1015.8116544127657,1015.8116544127657,1015.8116544127657
879.8181187272743,915.8334183249702,923.3000802993574,1002.8559927929832,959.4736699049121,977.1236441110204,908.679037306793,904.3089812452379,1072.7937735281653,930.9868008735677
935.0180268854714,901.0338027181889,867.3994081856408,892.8413939557239,926.8576923998636,914.5473518417731,967.6400961725387,873.8511984318612,990.9515510461649,1128.1685958937167
1038.7583406167191,1038.7583406167191,1038.7583406167191,1038.7583406167191,1038.7583406167191,1038.7583406167191,1038.7583406167191,1038.7583406167191,1038.7583406167191,1038.7583406167191
1019.0232037441175,1017.3103649545329,1019.9600717856804,1017.0646116914967,1019.818165114583,1021.2547362920404,1017.404267566573,1020.6002619724826,1019.5204677479751,1019.7741153829975
1016.8446448146835,1018.984179088812,1018.075994575761,1018.5452039334336,1015.9394989867384,1017.4380553104572,1018.364973528732,1018.0795485091894,1016.0054884732045,1019.9324208385941
1018.1107653385756,1019.5141278432831,1019.1678478059564,1017.8892690972334,1020.2500405774558,1019.6369352848346,1018.9616441221181,1018.7508519672143,1017.490667047885,1019.3781684850451
835.9841874346668,845.7824315276359,844.7518039997311,851.068043273157,835.9114674897097,840.9424381970505,852.0237864524676,854.0187196313674,876.8532172951184,860.5398239482006
