f1,f2,f3,f4,f5,Net Quantity,Gross Sales,Discounts,Returns,Total Net Sales
1.0,0.0,0.0,0.0,0.0,1.0,82.0,-16.4,0.0,65.6
1.0,0.0,0.0,0.0,0.0,2.0,36.0,-1.8,0.0,34.2
0.0,0.0,0.0,0.0,1.0,4.0,72.0,-5.4,0.0,66.6
0.0,1.0,0.0,0.0,0.0,1.0,110.0,0.0,0.0,110.0
1.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,Aê,14.0
0.0,0.0,1.0,0.0,0.0,1.0,32.0,-3.2,0.0,28.8
1.0,0.0,0.0,0.0,0.0,59.0,1062.0,-33.6,0.0,1028.4
0.0,1.0,0.0,0.0,0.0,2.0,116.0,0.0,0.0,116.0
1.0,0.0,0.0,0.0,0.0,2.0,1625.0,-5.0,0.0,1620.0
0.0,0.0,1.0,0.0,0.0,2.0,124.0,0.0,0.0,124.0
0.0,1.0,0.0,0.0,0.0,1.0,68.0,0.0,"
Ʀ",68.0
1.0,0.0,0.0,0.0,0.0,1.0,42.0,0.0,0.0,42.0
0.0,1.0,0.0,0.0,0.0,4.0,188.0,0.0,0.0,188.0
0.0,1.0,0.0,0.0,0.0,2.0,86.0,0.0,0.0,86.0
0.0,1.0,0.0,0.0,0.0,2.0,84.0,0.0,0.0,84.0
0.0,0.0,0.0,1.0,0.0,4.0,88.0,0.0,0.0,88.0
0.0,0.0,0.0,0.0,1.0,11.0,132.0,0.0,0.0,132.0
0.0,0.0,0.0,0.0,1.0,3.0,84.0,,0.0,81.2
0.0,1.0,0.0,0.0,0.0,1.0,48.0,0.0,0.0,48.0
0.0,1.0,0.0,0.0,0.0,10.0,1100.0,-11.0,0.0,1089.0
1.0,0.0,0.0,0.0,0.0,11.0,858.0,-23.6,0.0,834.4
0.0,0.0,0.0,1.0,0.0,2.0,136.0,0.0,0.0,136.0
0.0,1.0,0.0,0.0,0.0,2.0,68.0,0.0,0.0,68.0
0.0,0.0,0.0,1.0,0.0,1.0,28.0,0.0,0.0,28.0
0.0,0.0,0.0,1.0,0.0,6.0,252.0,-8.41,0.0,243.59
0.0,0.0,0.0,1.0,0.0,7.0,196.0,-16.79,0.0,179.21
0.0,1.0,0.0,0.0,0.0,1.0,62.0,0.0,0.0,62.0
0.0,1.0,0.0,0.0,0.0,1.0,145.0,0.0,0.0,145.0
0.0,1.0,0.0,0.0,0.0,8.0,428.0,-19.2,-46.0,362.8
0.0,1.0,0.0,0.0,0.0,1.0,185.0,0.0,0.0,185.0
1.0,0.0,0.0,0.0,0.0,1.0,36.0,-3.6,0.0,32.4
0.0,1.0,0.0,0.0,0.0,0.0,195.0,0.0,-195.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,145.0,0.0,0.0,145.0
0.0,0.0,0.0,1.0,0.0,3.0,72.0,-2.4,0.0,69.6
0.0,1.0,0.0,0.0,0.0,1.0,185.0,-18.5,0.0,166.5
1.0,0.0,0.0,0.0,0.0,1.0,52.0,0.0,0.0,52.0
0.0,1.0,0.0,0.0,0.0,1.0,175.0,0.0,0.0,175.0
0.0,0.0,1.0,0.0,0.0,18.0,1224.0,-40.8,0.0,1183.2
0.0,1.0,0.0,0.0,0.0,11.0,898.0,Y9áO,0.0,864.8
0.0,1.0,0.0,0.0,0.0,1.0,365.0,-36.5,0.0,328.5
0.0,1.0,0.0,0.0,0.0,4.0,204.0,-5.8,0.0,198.2
1.0,0.0,0.0,0.0,0.0,1.0,22.0,0.0,0.0,22.0
1.0,0.0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,18.0
0.0,0.0,0.0,1.0,0.0,3.0,114.0,-3.8,0.0,110.2
0.0,1.0,0.0,0.0,0.0,1.0,175.0,0.0,0.0,175.0
0.0,1.0,0.0,0.0,0.0,4.0,192.0,-4.8,0.0,187.2
0.0,1.0,0.0,0.0,0.0,3.0,348.0,-46.4,0.0,301.6
0.0,0.0,0.0,1.0,0.0,1.0,28.0,0.0,0.0,28.0
