f1,f2,f3,f4,f5,Net Quantity,Gross Sales,Discounts,Returns,Total Net Sales
1.0,0.0,0.0,0.0,0.0,&͔Ș̱,516.0,-6.0,0.0,510.0
0.0,0.0,0.0,1.0,0.0,21.0,(Šźϝɦ,-2.8,-84.0,291.2
0.0,1.0,0.0,0.0,0.0,2.0,350.0,0.0,..00,350.0
0.0,1.0,0.0,0.0,0.0,3.0,mɖǪ·ɍ,0.0,,564.0
1.0,0.0,0.0,0.0,0.0,2.0,90.0,Afghanistan,0.0,85.5
1.0,0.0,0.0,0.0,0.0,3.0,66.0,-2.2,00,63.8
0.0,0.0,1.0,0.0,0.0,2.0,48.0,..00,0.0,48.0
0.0,1.0,0.0,0.0,0.0,,34.0,-5.2,0.0,28.8
1.0,0.0,0.0,0.0,0.0,14.0,518.0,-14.6,0.0,503.4
1.0,0.0,0.0,0.0,0.0,3300,162.0,0.0,s,162.0
0.0,0.0,0.0,1.0,0.0,1.0,48.0,0.0,0.0,48.0
1.0,0.0,0.0,0.0,0.0,Some college,204.0,-20.4,0.0,183.6
0.0,0.0,0.0,0.0,1.0,3.0,31.5,-2.6õ2,,28.88
1.0,0.0,0.0,0.0,0.0,4.0,600.0,-15.0,AƇŽ,585.0
0.0,0.0,0.0,0.0,1.0,1.0,28.0,0.0,0.0,28.0
0.0,0.0,0.0,1.0,0.0,Some college,60.0,-5.0,0.0,55.0
0.0,1.0,0.0,0.0,0.0,1.0,95.0,-9.5,0.0,85.5
1.0,0.0,0.0,0.0,0.0,,32.0,..,0.0,32.0
0.0,1.0,0.0,0.0,0.0,yψ,500.0,-37.5,0.0,462.5
0.0,0.0,1.0,0.0,0.0,17.0,,-44.0,0.0,1452.0
0.0,1.0,0.0,0.0,0.0,5.0,220.0,-8.8,0.0,211.2
0.0,1.0,0.0,0.0,0.0,1.0,175.0,0.0,0.0,175.0
0.0,1.0,0.0,0.0,0.0,1.0,44.0,0.0,0.0,44.0
0.0,0.0,0.0,0.0,1.0,4.0,80.0,-4.0,0.0,76.0
1.0,0.0,0.0,0.0,0.0,..00,360.0,-5.8,0.0,354.2
0.0,1.0,0.0,0.0,0.0,1.0,Ť̪ϗ,,0.0,68.0
0.0,1.0,0.0,0.0,0.0,,28.0,0.0,0.0,28.0
0.0,1.0,0.0,0.0,0.0,,208.0,-13.01,0.0,194.99
0.0,1.0,0.0,0.0,0.0,..00,120.0,-6.8,0.0,113.2
0.0,0.0,0.0,1.0,0.0,,102.0,0.0,0.0,102.0
0.0,0.0,0.0,0.0,1.0,1.0,24.0,0.0,0.0,24.0
1.0,0.0,0.0,0.0,0.0,1.0, ˃Àð,-1.Â6,0.0,14.4
